Spain,East,Girona,North,SPEGIN
Spain,East,Girona,South,SPEGIS
Spain,East,Barcelona,North,SPEBAN
Spain,East,Barcelona,South,SPEBAS
Spain,East,Tarragona,North,SPETAN
Spain,East,Tarragona,South,SPETAS
Spain,East,Castello,North,SPECSN
Spain,East,Castello,South,SPECSS
Spain,East,Valencia,North,SPEVAN
Spain,East,Valencia,South,SPEVAS
Spain,East,Alacant,North,SPEALN
Spain,East,Alacant,Center,SPEALC
Spain,East,Alacant,South,SPEALS
Spain,East,Balears,Eivissa,SPEBEI
Spain,East,Balears,Formentera,SPEBFO
Spain,East,Balears,Mallorca,SPEBML
Spain,East,Balears,Menorca,SPEBMN
Spain,South,Murcia,West,SPSMUW
Spain,South,Murcia,East,SPSMUE
Spain,South,Almeria,West,SPSALW
Spain,South,Almeria,Center,SPSALC
Spain,South,Almeria,East,SPSALE
Spain,South,Granada,West,SPSGRW
Spain,South,Granada,East,SPSGRE
Spain,South,Malaga,West,SPSMAW
Spain,South,Malaga,Center,SPSMAC
Spain,South,Malaga,East,SPSMAE
Spain,South,Cadiz,West,SPSCAW
Spain,South,Cadiz,East,SPSCAE
Spain,South,Huelva,West,SPSHUW
Spain,South,Huelva,East,SPSHUE
Spain,South,Ceuta,Ceuta,SPSCEU
Spain,South,Melilla,Melilla,SPSMEL
Spain,South,Tenerife,Palma,SPSTEP
Spain,South,Tenerife,Hierro,SPSTEH
Spain,South,Tenerife,Gomera,SPSTEG
Spain,South,Tenerife,Tenerife,SPSTET
Spain,South,Palmas,Lanzarote,SPSPAL
Spain,South,Palmas,Fuerteventura,SPSPAF
Spain,South,Palmas,GranCanaria,SPSPAC
Spain,North,Pontevedra,North,SPNPON
Spain,North,Pontevedra,Center,SPNPOC
Spain,North,Pontevedra,South,SPNPOS
Spain,North,A Coruña,North,SPNCON
Spain,North,A Coruña,Center,SPNCOC
Spain,North,A Coruña,South,SPNCOS
Spain,North,Lugo,West,SPNLUW
Spain,North,Lugo,East,SPNLUE
Spain,North,Asturias,West,SPNASW
Spain,North,Asturias,Center,SPNASC
Spain,North,Asturias,East,SPNASE
Spain,North,Cantabria,West,SPNCAW
Spain,North,Cantabria,Center,SPNCAC
Spain,North,Cantabria,East,SPNCAE
Spain,North,Bizkaia,West,SPNBZW
Spain,North,Bizkaia,East,SPNBZE
Spain,North,Gipuzkoa,West,SPNGKW
Spain,North,Gipuzkoa,East,SPNGKE
